ticker,name,sector
FXAIX,Fidelity 500 Index Fund,Unknown
FIS,Fidelity National Information Services,Tech & connectivity
FSKAX,Fidelity Total Market Index Fun,Unknown
FITB,Fifth Third Bancorp,Money & risk
FSLR,First Solar,Energy
FE,FirstEnergy,Utilities & power
FISV,Fiserv,Unknown
F,Ford Motor Company,Hi-fi living
FTNT,Fortinet,Tech & connectivity
FTV,Fortive,Health & life science
FOXA,Fox Corporation (Class A),Hi-fi living
FOX,Fox Corporation (Class B),Hi-fi living
BEN,Franklin Resources,Money & risk
FCX,Freeport-McMoRan,Materials & mining
GE,GE Aerospace,Industry & transport
GEHC,GE HealthCare,Health & life science
GEV,GE Vernova,Industry & transport
GRMN,Garmin,Health & life science
IT,Gartner,Tech & connectivity
GEN,Gen Digital,Tech & connectivity
GNRC,Generac,Industry & transport
GD,General Dynamics,Industry & transport
GIS,General Mills,Everyday essentials
GM,General Motors,Hi-fi living
GPC,Genuine Parts Company,Hi-fi living
GILD,Gilead Sciences,Health & life science
GPN,Global Payments,Services
GL,Globe Life,Money & risk
GDDY,GoDaddy,Tech & connectivity
GS,Goldman Sachs,Money & risk
HCA,HCA Healthcare,Health & life science
HPQ,HP Inc.,Tech & connectivity
HAL,Halliburton,Energy
HIG,Hartford (The),Money & risk
HAS,Hasbro,Hi-fi living
DOC,Healthpeak Properties,Real estate & property
HSIC,Henry Schein,Health & life science
HSY,Hershey Company (The),Everyday essentials
HPE,Hewlett Packard Enterprise,Tech & connectivity
HLT,Hilton Worldwide,Hi-fi living
HOLX,Hologic,Health & life science
HD,Home Depot (The),Hi-fi living
HON,Honeywell,Other
HRL,Hormel Foods,Everyday essentials
HST,Host Hotels & Resorts,Real estate & property
HWM,Howmet Aerospace,Industry & transport
HUBB,Hubbell Incorporated,Industry & transport
HUM,Humana,Health & life science
HBAN,Huntington Bancshares,Money & risk
HII,Huntington Ingalls Industries,Industry & transport
IBM,IBM,Tech & connectivity
IEX,IDEX Corporation,Industry & transport
IQV,IQVIA,Health & life science
IDXX,Idexx Laboratories,Health & life science
ITW,Illinois Tool Works,Industry & transport
INCY,Incyte,Health & life science
IR,Ingersoll Rand,Industry & transport
INSM,Insmed Incorporated,Health & life science
PODD,Insulet Corporation,Health & life science
INTC,Intel,Tech & connectivity
IBKR,Interactive Brokers,Money & risk
ICE,Intercontinental Exchange,Money & risk
IFF,International Flavors & Fragrances,Materials & mining
IP,International Paper,Industry & transport
INTU,Intuit,Tech & connectivity
ISRG,Intuitive Surgical,Health & life science
IVZ,Invesco,Money & risk
QQQ,"Invesco QQQ Trust, Series 1",Unknown
INVH,Invitation Homes,Real estate & property
IRM,Iron Mountain,Real estate & property
JBHT,J.B. Hunt,Industry & transport
SJM,J.M. Smucker Company (The),Everyday essentials
JPM,JPMorgan Chase,Money & risk
JBL,Jabil,Tech & connectivity
JKHY,Jack Henry & Associates,Tech & connectivity
J,Jacobs Solutions,Industry & transport
JNJ,Johnson & Johnson,Health & life science
JCI,Johnson Controls,Industry & transport
KKR,KKR & Co.,Money & risk
KLAC,KLA Corporation,Tech & connectivity
KVUE,Kenvue,Everyday essentials
KDP,Keurig Dr Pepper,Everyday essentials
KEY,KeyCorp,Money & risk
KEYS,Keysight Technologies,Health & life science
KMB,Kimberly-Clark,Everyday essentials
KIM,Kimco Realty,Real estate & property
KMI,Kinder Morgan,Energy
KHC,Kraft Heinz,Everyday essentials
KR,Kroger,Everyday essentials
LHX,L3Harris,Industry & transport
LH,Labcorp,Health & life science
LRCX,Lam Research,Tech & connectivity
LW,Lamb Weston,Everyday essentials
LVS,Las Vegas Sands,Hi-fi living
LDOS,Leidos,Tech & connectivity
LEN,Lennar,Industry & transport
LII,Lennox International,Industry & transport
LLY,Lilly (Eli),Health & life science
LIN,Linde plc,Materials & mining
LYV,Live Nation Entertainment,Hi-fi living
LMT,Lockheed Martin,Industry & transport
L,Loews Corporation,Money & risk
LOW,Lowe's,Hi-fi living
LULU,Lululemon Athletica,Hi-fi living
LYB,LyondellBasell,Materials & mining
MTB,M&T Bank,Money & risk
MGM,MGM Resorts,Hi-fi living
MSCI,MSCI Inc.,Money & risk
MPC,Marathon Petroleum,Energy
MAR,Marriott International,Hi-fi living
MRSH,Marsh McLennan,Money & risk
MLM,Martin Marietta Materials,Materials & mining
MRVL,Marvell Technology,Tech & connectivity
MAS,Masco,Industry & transport
MA,Mastercard,Money & risk
MTCH,Match Group,Tech & connectivity
MKC,McCormick & Company,Everyday essentials
MCD,McDonald's,Hi-fi living
MCK,McKesson Corporation,Health & life science
MDT,Medtronic,Health & life science
MELI,Mercado Libre,Tech & connectivity
MRK,Merck & Co.,Health & life science
MET,MetLife,Money & risk
META,Meta Platforms,Tech & connectivity
MTD,Mettler Toledo,Health & life science
MSTR,MicroStrategy,Tech & connectivity
MCHP,Microchip Technology,Tech & connectivity
MU,Micron Technology,Tech & connectivity
MSFT,Microsoft,Tech & connectivity
MAA,Mid-America Apartment Communities,Real estate & property
MRNA,Moderna,Health & life science
MOH,Molina Healthcare,Health & life science
TAP,Molson Coors Beverage Company,Everyday essentials
MDLZ,Mondelez International,Everyday essentials
MPWR,Monolithic Power Systems,Tech & connectivity
MNST,Monster Beverage,Everyday essentials
MCO,Moody's Corporation,Money & risk
MS,Morgan Stanley,Money & risk
MOS,Mosaic Company (The),Everyday essentials
MSI,Motorola Solutions,Tech & connectivity
NRG,NRG Energy,Utilities & power
NVR,"NVR, Inc.",Industry & transport
NXPI,NXP Semiconductors,Tech & connectivity
NDAQ,"Nasdaq, Inc.",Money & risk
NTAP,NetApp,Tech & connectivity
NFLX,Netflix,Hi-fi living
NEM,Newmont,Materials & mining
NWSA,News Corp (Class A),Hi-fi living
NWS,News Corp (Class B),Hi-fi living
NEE,NextEra Energy,Utilities & power
NXT,Nextpower Inc.,Energy
NI,NiSource,Utilities & power
NKE,"Nike, Inc.",Hi-fi living
NDSN,Nordson Corporation,Industry & transport
NSC,Norfolk Southern,Industry & transport
NTRS,Northern Trust,Money & risk
NOC,Northrop Grumman,Industry & transport
NCLH,Norwegian Cruise Line Holdings,Hi-fi living
NUE,Nucor,Materials & mining
NVDA,Nvidia,Tech & connectivity
ON,ON Semiconductor,Tech & connectivity
OXY,Occidental Petroleum,Energy
ODFL,Old Dominion,Industry & transport
OMC,Omnicom Group,Services
OKE,Oneok,Energy
ORCL,Oracle Corporation,Tech & connectivity
OGN,Organon & Co.,Health & life science
OTIS,Otis Worldwide,Industry & transport
ORLY,O’Reilly Automotive,Hi-fi living
PDD,PDD Holdings,Tech & connectivity
PCG,PG&E Corporation,Utilities & power
PNC,PNC Financial Services,Money & risk
PPG,PPG Industries,Materials & mining
PPL,PPL Corporation,Utilities & power
PTC,PTC Inc.,Tech & connectivity
PCAR,Paccar,Industry & transport
PKG,Packaging Corporation of America,Industry & transport
PLTR,Palantir Technologies,Tech & connectivity
PANW,Palo Alto Networks,Tech & connectivity
PSKY,Paramount Skydance Corporation,Hi-fi living
PH,Parker Hannifin,Industry & transport
PYPL,PayPal,Money & risk
PAYX,Paychex,Tech & connectivity
PAYC,Paycom,Tech & connectivity
PTON,"Peloton Interactive, Inc.",Hi-fi living
PNR,Pentair,Industry & transport
PEP,PepsiCo,Everyday essentials
PFE,Pfizer,Health & life science
PM,Philip Morris International,Everyday essentials
PSX,Phillips 66,Energy
PNW,Pinnacle West Capital,Utilities & power
POOL,Pool Corporation,Industry & transport
PFG,Principal Financial Group,Money & risk
PG,Procter & Gamble,Everyday essentials
PGR,Progressive Corporation,Money & risk
PLD,Prologis,Real estate & property
PRU,Prudential Financial,Money & risk
PEG,Public Service Enterprise Group,Utilities & power
PSA,Public Storage,Real estate & property
PHM,PulteGroup,Industry & transport
Q,Qnity Electronics,Tech & connectivity
QCOM,Qualcomm,Tech & connectivity
PWR,Quanta Services,Industry & transport
DGX,Quest Diagnostics,Health & life science
RTX,RTX Corporation,Industry & transport
RL,Ralph Lauren Corporation,Hi-fi living
RJF,Raymond James Financial,Money & risk
O,Realty Income,Real estate & property
REG,Regency Centers,Real estate & property
REGN,Regeneron Pharmaceuticals,Health & life science
RF,Regions Financial Corporation,Money & risk
RSG,Republic Services,Services
RMD,ResMed,Health & life science
RVTY,Revvity,Health & life science
RIVN,"Rivian Automotive, Inc.",Hi-fi living
HOOD,Robinhood Markets,Money & risk
RKLB,Rocket Lab Corporation,Industry & transport
ROK,Rockwell Automation,Industry & transport
ROL,"Rollins, Inc.",Other
ROP,Roper Technologies,Tech & connectivity
ROST,Ross Stores,Hi-fi living
RCL,Royal Caribbean Group,Hi-fi living
SPGI,S&P Global,Money & risk
SBAC,SBA Communications,Real estate & property
GLD,SPDR Gold Shares,Unknown
CRM,Salesforce,Tech & connectivity
SNDK,Sandisk,Tech & connectivity
SLB,Schlumberger,Energy
SWTSX,Schwab Total Stock Market Index,Unknown
SCHB,Schwab U.S. Broad Market ETF,Unknown
SCHG,Schwab U.S. Large-Cap Growth ET,Unknown
SCHV,Schwab U.S. Large-Cap Value ETF,Unknown
SCHH,Schwab U.S. REIT ETF,Unknown
SCHD,Schwab US Dividend Equity ETF,Unknown
SWPPX,"Schwab® S&P 500 Index Fund"",",Unknown
STX,Seagate Technology,Tech & connectivity
SRE,Sempra,Utilities & power
NOW,ServiceNow,Tech & connectivity
SHW,Sherwin-Williams,Materials & mining
SHOP,Shopify,Tech & connectivity
SPG,Simon Property Group,Real estate & property
SWKS,Skyworks Solutions,Tech & connectivity
SW,Smurfit Westrock,Industry & transport
SNA,Snap-on,Industry & transport
SOLV,Solventum,Health & life science
SONO,"Sonos, Inc.",Tech & connectivity
SO,Southern Company,Utilities & power
LUV,Southwest Airlines,Hi-fi living
SWK,Stanley Black & Decker,Industry & transport
SBUX,Starbucks,Hi-fi living
XLY,State Street Consumer Discretio,Unknown
XLP,State Street Consumer Staples S,Unknown
STT,State Street Corporation,Money & risk
XLE,State Street Energy Select Sect,Unknown
XLF,State Street Financial Select S,Unknown
XLV,State Street Health Care Select,Unknown
SPY,State Street SPDR S&P 500 ETF T,Unknown
XLK,State Street Technology Select,Unknown
STLD,Steel Dynamics,Materials & mining
STE,Steris,Health & life science
SYK,Stryker Corporation,Health & life science
STKL,"SunOpta, Inc.",Everyday essentials
SMCI,Supermicro,Tech & connectivity
SG,"Sweetgreen, Inc.",Hi-fi living
SYF,Synchrony Financial,Money & risk
SNPS,Synopsys,Tech & connectivity
SYY,Sysco,Everyday essentials
TMUS,T-Mobile US,Tech & connectivity
TROW,T. Rowe Price,Money & risk
TEL,TE Connectivity,Tech & connectivity
TJX,TJX Companies,Hi-fi living
TKO,TKO Group Holdings,Hi-fi living
TTWO,Take-Two Interactive,Tech & connectivity
TPR,"Tapestry, Inc.",Hi-fi living
TRGP,Targa Resources,Energy
TGT,Target Corporation,Hi-fi living
TDY,Teledyne Technologies,Health & life science
TER,Teradyne,Tech & connectivity
TSLA,"Tesla, Inc.",Hi-fi living
TXN,Texas Instruments,Tech & connectivity
TPL,Texas Pacific Land Corporation,Energy
TXT,Textron,Industry & transport
TMO,Thermo Fisher Scientific,Health & life science
TRI,Thomson Reuters,Services
TSCO,Tractor Supply,Hi-fi living
TTD,Trade Desk (The),Services
TT,Trane Technologies,Industry & transport
TDG,TransDigm Group,Industry & transport
TRV,Travelers Companies (The),Money & risk
TRMB,Trimble Inc.,Health & life science
TFC,Truist Financial,Money & risk
TYL,Tyler Technologies,Tech & connectivity
TSN,Tyson Foods,Everyday essentials
USB,U.S. Bancorp,Money & risk
UDR,"UDR, Inc.",Real estate & property
UBER,Uber,Tech & connectivity
ULTA,Ulta Beauty,Hi-fi living
UNP,Union Pacific Corporation,Industry & transport
UAL,United Airlines Holdings,Hi-fi living
UPS,United Parcel Service,Industry & transport
URI,United Rentals,Hi-fi living
UNH,UnitedHealth Group,Health & life science
UHS,Universal Health Services,Health & life science
VLO,Valero Energy,Energy
VFIAX,Vanguard 500 Index Fd Admiral S,Unknown
VEA,Vanguard FTSE Developed Markets,Unknown
VWO,Vanguard FTSE Emerging Markets,Unknown
VUG,Vanguard Growth ETF,Unknown
VYM,Vanguard High Dividend Yield ET,Unknown
VGT,Vanguard Information Tech ETF,Unknown
VNQ,Vanguard Real Estate ETF,Unknown
VOO,Vanguard S&P 500 ETF,Unknown
VOOG,Vanguard S&P 500 Growth ETF,Unknown
VOOV,Vanguard S&P 500 Value ETF,Unknown
BND,Vanguard Total Bond Market ETF,Unknown
VXUS,Vanguard Total International St,Unknown
VTI,Vanguard Total Stock Market ETF,Unknown
VTSAX,Vanguard Total Stock Market Ind,Unknown
VTV,Vanguard Value ETF,Unknown
VTR,Ventas,Real estate & property
VLTO,Veralto,Services
VRSN,Verisign,Tech & connectivity
VRSK,Verisk Analytics,Services
VZ,Verizon,Tech & connectivity
VRTX,Vertex Pharmaceuticals,Health & life science
VTRS,Viatris,Health & life science
VICI,Vici Properties,Real estate & property
V,Visa Inc.,Money & risk
VST,Vistra Corp.,Utilities & power
VMC,Vulcan Materials Company,Materials & mining
WRB,W. R. Berkley Corporation,Money & risk
GWW,W. W. Grainger,Industry & transport
WEC,WEC Energy Group,Utilities & power
WAB,Wabtec,Industry & transport
WMT,Walmart,Hi-fi living
DIS,Walt Disney Company (The),Hi-fi living
WBD,Warner Bros. Discovery,Hi-fi living
WM,Waste Management,Services
WAT,Waters Corporation,Health & life science
WFC,Wells Fargo,Money & risk
WELL,Welltower,Real estate & property
WST,West Pharmaceutical Services,Health & life science
WDC,Western Digital,Tech & connectivity
WY,Weyerhaeuser,Real estate & property
WMB,Williams Companies,Energy
WSM,"Williams-Sonoma, Inc.",Hi-fi living
WTW,Willis Towers Watson,Money & risk
WDAY,"Workday, Inc.",Tech & connectivity
WYNN,Wynn Resorts,Hi-fi living
XEL,Xcel Energy,Utilities & power
XYL,Xylem Inc.,Industry & transport
YUM,Yum! Brands,Hi-fi living
ZBRA,Zebra Technologies,Tech & connectivity
ZBH,Zimmer Biomet,Health & life science
ZTS,Zoetis,Health & life science
ZS,Zscaler,Tech & connectivity
EBAY,eBay Inc.,Tech & connectivity
